Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,108.319,108.319,screen dark,20.0518399696
0,1.825,1.825,wifi scan,0.415130195
1.825,4.239,2.4139999999999997,wifi running,0.033304895839999994
4.239,4.24,0.001000000000000334,wifi scan,0.00022746860000007595
4.24,9.283,5.042999999999999,wifi running,0.06957605207999999
9.283,12.128,2.8450000000000006,wifi scan,0.6471481670000001
12.128,16.283,4.155000000000001,wifi running,0.057324706800000014
16.283,19.731,3.4480000000000004,wifi scan,0.7843117328000001
19.731,108.319,88.588,wifi running,1.2222096572799999

